airline_enc,destination_enc,stops_num,departure_hour,day_of_week,month,day,price
1,5,1,16,0,3,23,419.0
0,5,0,4,0,3,23,436.0
15,5,0,13,0,3,23,478.0
24,5,0,18,0,3,23,523.0
8,5,0,9,0,3,23,616.0
0,5,0,2,0,3,23,590.0
0,5,0,14,0,3,23,615.0
8,5,0,2,0,3,23,630.0
8,5,0,21,0,3,23,630.0
30,5,0,17,0,3,23,654.0
30,5,0,1,0,3,23,725.0
30,5,0,9,0,3,23,725.0
16,5,3,16,0,3,23,4479.0
0,5,0,14,1,3,24,467.0
30,5,0,1,1,3,24,467.0
24,5,0,18,1,3,24,477.0
1,5,1,16,1,3,24,444.0
30,5,1,11,1,3,24,467.0
24,5,0,14,1,3,24,497.0
15,5,0,13,1,3,24,513.0
0,5,0,4,1,3,24,544.0
30,5,0,17,1,3,24,605.0
0,5,0,2,1,3,24,621.0
8,5,0,2,1,3,24,648.0
8,5,0,9,1,3,24,648.0
30,5,0,9,1,3,24,675.0
8,5,0,21,1,3,24,699.0
24,5,3,7,1,3,24,4550.0
30,5,1,11,2,3,25,435.0
15,5,0,13,2,3,25,446.0
24,5,0,14,2,3,25,479.0
30,5,0,9,2,3,25,510.0
8,5,0,9,2,3,25,586.0
1,5,1,9,2,3,25,429.0
24,5,0,18,2,3,25,479.0
30,5,0,23,2,3,25,535.0
0,5,0,4,2,3,25,544.0
8,5,0,2,2,3,25,586.0
8,5,0,21,2,3,25,586.0
0,5,0,2,2,3,25,662.0
30,5,0,1,2,3,25,677.0
24,5,0,18,3,3,26,514.0
30,5,0,9,3,3,26,530.0
8,5,0,9,3,3,26,581.0
1,5,1,16,3,3,26,423.0
30,5,1,11,3,3,26,505.0
8,5,1,20,3,3,26,505.0
0,5,0,4,3,3,26,558.0
8,5,0,2,3,3,26,581.0
8,5,0,21,3,3,26,581.0
0,5,0,14,3,3,26,604.0
30,5,0,17,3,3,26,606.0
0,5,0,2,3,3,26,619.0
30,5,0,1,3,3,26,677.0
30,5,1,11,4,3,27,444.0
0,5,0,14,4,3,27,452.0
24,5,0,18,4,3,27,468.0
30,5,0,1,4,3,27,478.0
8,5,0,9,4,3,27,581.0
1,5,1,16,4,3,27,445.0
24,5,0,14,4,3,27,489.0
30,5,0,17,4,3,27,505.0
8,5,0,2,4,3,27,581.0
30,5,0,9,4,3,27,615.0
0,5,0,4,4,3,27,673.0
0,5,0,2,4,3,27,703.0
8,5,0,21,4,3,27,825.0
0,5,0,14,5,3,28,385.0
24,5,0,18,5,3,28,489.0
8,5,0,2,5,3,28,586.0
1,5,1,16,5,3,28,471.0
15,5,0,13,5,3,28,553.0
0,5,0,4,5,3,28,590.0
0,5,0,2,5,3,28,621.0
30,5,0,1,5,3,28,686.0
30,5,0,9,5,3,28,686.0
30,5,0,17,5,3,28,686.0
8,5,0,9,5,3,28,687.0
8,5,0,21,5,3,28,687.0
24,5,0,13,6,3,29,509.0
30,5,1,11,6,3,29,510.0
15,5,0,18,6,3,29,556.0
0,5,0,15,6,3,29,559.0
8,5,0,2,6,3,29,586.0
1,5,1,16,6,3,29,433.0
24,5,0,18,6,3,29,509.0
8,5,0,22,6,3,29,586.0
30,5,0,1,6,3,29,615.0
30,5,0,9,6,3,29,615.0
0,5,0,2,6,3,29,662.0
30,5,0,17,6,3,29,686.0
8,5,0,10,6,3,29,687.0
0,5,0,4,6,3,29,1037.0
24,5,3,18,6,3,29,5004.0
30,5,1,11,0,3,30,410.0
0,5,0,15,0,3,30,436.0
30,5,0,17,0,3,30,444.0
24,5,0,18,0,3,30,461.0
8,5,0,2,0,3,30,581.0
1,5,1,16,0,3,30,442.0
0,5,0,5,0,3,30,482.0
30,5,0,9,0,3,30,505.0
30,5,0,2,0,3,30,530.0
8,5,1,20,0,3,30,530.0
0,5,0,3,0,3,30,575.0
8,5,0,10,0,3,30,581.0
8,5,0,22,0,3,30,581.0
16,5,3,17,0,3,30,4784.0
15,5,0,18,1,3,31,438.0
30,5,0,17,1,3,31,444.0
24,5,0,18,1,3,31,461.0
1,5,1,16,1,3,31,412.0
1,5,1,16,1,3,31,422.0
0,5,0,15,1,3,31,453.0
30,5,1,11,1,3,31,478.0
24,5,0,15,1,3,31,499.0
30,5,0,2,1,3,31,535.0
8,5,1,20,1,3,31,535.0
8,5,0,2,1,3,31,586.0
8,5,0,10,1,3,31,586.0
8,5,0,22,1,3,31,586.0
30,5,0,9,1,3,31,686.0
0,5,0,3,1,3,31,742.0
0,5,0,5,1,3,31,742.0
24,5,0,18,2,4,1,423.0
30,5,0,19,2,4,1,444.0
8,5,0,22,2,4,1,459.0
0,5,0,3,2,4,1,537.0
24,5,0,13,2,4,1,436.0
1,5,1,9,2,4,1,442.0
30,5,0,2,2,4,1,510.0
20,5,1,4,2,4,1,526.0
30,5,0,9,2,4,1,535.0
8,5,0,2,2,4,1,586.0
8,5,0,10,2,4,1,586.0
0,5,0,5,2,4,1,630.0
16,5,3,17,2,4,1,4942.0
0,5,0,15,3,4,2,338.0
24,5,0,18,3,4,2,426.0
30,5,0,17,3,4,2,444.0
8,5,0,2,3,4,2,480.0
30,5,1,11,3,4,2,444.0
0,5,0,3,3,4,2,450.0
30,5,0,2,3,4,2,505.0
30,5,0,9,3,4,2,505.0
8,5,0,10,3,4,2,581.0
8,5,0,22,3,4,2,581.0
0,5,0,5,3,4,2,1035.0
0,5,0,5,4,4,3,340.0
30,5,0,17,4,4,3,410.0
24,5,0,18,4,4,3,413.0
8,5,0,22,4,4,3,417.0
0,5,0,3,4,4,3,340.0
0,5,0,15,4,4,3,340.0
1,5,1,16,4,4,3,403.0
24,5,0,13,4,4,3,458.0
30,5,0,9,4,4,3,478.0
30,5,0,2,4,4,3,505.0
8,5,0,2,4,4,3,530.0
8,5,0,10,4,4,3,581.0
24,5,3,18,4,4,3,4553.0
0,5,0,5,5,4,4,340.0
24,5,0,18,5,4,4,436.0
15,5,0,18,5,4,4,438.0
8,5,0,2,5,4,4,459.0
30,5,0,9,5,4,4,478.0
0,5,0,15,5,4,4,340.0
1,5,1,16,5,4,4,422.0
30,5,0,17,5,4,4,444.0
0,5,0,3,5,4,4,467.0
30,5,0,2,5,4,4,478.0
8,5,0,22,5,4,4,498.0
8,5,0,10,5,4,4,599.0
16,5,3,17,5,4,4,4630.0
0,5,0,15,6,4,5,340.0
8,5,1,20,6,4,5,434.0
30,5,0,9,6,4,5,444.0
8,5,0,2,6,4,5,459.0
24,5,0,18,6,4,5,489.0
0,5,0,5,6,4,5,354.0
30,5,0,17,6,4,5,444.0
8,5,0,22,6,4,5,459.0
8,5,0,10,6,4,5,498.0
24,5,0,13,6,4,5,547.0
30,5,0,2,6,4,5,548.0
0,5,0,3,6,4,5,621.0
16,5,3,17,6,4,5,4779.0
0,5,0,5,0,4,6,340.0
30,5,0,17,0,4,6,410.0
8,5,0,22,0,4,6,429.0
24,5,0,18,0,4,6,443.0
0,5,0,3,0,4,6,340.0
0,5,0,15,0,4,6,340.0
1,5,1,17,0,4,6,423.0
8,5,0,2,0,4,6,454.0
8,5,0,10,0,4,6,454.0
30,5,0,2,0,4,6,478.0
30,5,0,9,0,4,6,478.0
16,5,3,17,0,4,6,4776.0
0,5,0,5,1,4,7,340.0
0,5,0,15,1,4,7,340.0
8,5,0,2,1,4,7,422.0
1,5,1,16,1,4,7,405.0
30,5,1,11,1,4,7,410.0
30,5,0,17,1,4,7,410.0
8,5,0,22,1,4,7,434.0
8,5,0,10,1,4,7,459.0
30,5,0,2,1,4,7,478.0
30,5,0,9,1,4,7,478.0
24,5,0,18,1,4,7,489.0
24,5,0,15,1,4,7,532.0
0,5,0,3,1,4,7,641.0
0,5,0,3,2,4,8,354.0
30,5,0,2,2,4,8,410.0
24,5,0,18,2,4,8,433.0
8,5,0,2,2,4,8,434.0
0,5,0,5,2,4,8,395.0
30,5,0,19,2,4,8,410.0
1,5,1,9,2,4,8,423.0
24,5,0,13,2,4,8,446.0
8,5,0,10,2,4,8,459.0
30,5,0,9,2,4,8,478.0
8,5,0,22,2,4,8,484.0
16,5,3,17,2,4,8,4800.0
0,5,0,15,3,4,9,338.0
0,5,0,5,3,4,9,363.0
8,5,0,2,3,4,9,429.0
1,5,1,8,3,4,9,403.0
30,5,1,11,3,4,9,410.0
8,5,0,10,3,4,9,454.0
8,5,0,22,3,4,9,454.0
30,5,0,2,3,4,9,478.0
30,5,0,9,3,4,9,478.0
30,5,0,17,3,4,9,478.0
0,5,0,3,3,4,9,496.0
24,5,0,18,3,4,9,512.0
0,5,0,15,4,4,10,340.0
30,5,0,17,4,4,10,410.0
8,5,0,2,4,4,10,454.0
1,5,1,17,4,4,10,403.0
8,5,0,10,4,4,10,454.0
8,5,0,22,4,4,10,454.0
24,5,0,13,4,4,10,468.0
24,5,0,18,4,4,10,468.0
0,5,0,5,4,4,10,513.0
0,5,0,3,4,4,10,528.0
30,5,0,2,4,4,10,530.0
30,5,0,9,4,4,10,713.0
30,5,0,17,5,4,11,410.0
0,5,0,5,5,4,11,416.0
8,5,0,22,5,4,11,434.0
24,5,0,18,5,4,11,436.0
1,5,1,16,5,4,11,403.0
